test_id,trial_curr,trial_total,rep,reps,steps,steps_max,pbp,pres_mode,perception_count,retrieval_count,sol,solved,timestamp,activity->feature->hyp_base,activity->obj->hyp_base
_6e72e65c14ff4a41,1,4,4,200,331,2500,pbp18sim,interleaved-sim-sim,866,1797,"Only in the right scenes, exists: ( objects that are far (stable at the end objects) at the end)",true,2022-04-05T03:10:47.433Z,,
_6e72e65c14ff4a41,1,4,1,200,184,2500,pbp18sim,interleaved-sim-sim,339,350,"Only in the right scenes, exists: (single at the end objects)",true,2022-04-05T03:10:47.424Z,,
_6e72e65c14ff4a41,1,4,6,200,834,2500,pbp18sim,interleaved-sim-sim,2013,4617,"Only in the left scenes, exists: ( objects that are supporting[0.20] (any object) at the end)",true,2022-04-05T03:10:47.488Z,,
_6e72e65c14ff4a41,1,4,9,200,370,2500,pbp18sim,interleaved-sim-sim,883,1961,"Only in the right scenes, exists: (single at the end objects)",true,2022-04-05T03:10:47.985Z,,
_6e72e65c14ff4a41,1,4,2,200,183,2500,pbp18sim,interleaved-sim-sim,416,581,"Only in the left scenes, exists: ( objects that are touches (rect objects) at the end)",true,2022-04-05T03:10:47.428Z,,
_6e72e65c14ff4a41,1,4,7,200,178,2500,pbp18sim,interleaved-sim-sim,287,507,"Only in the right scenes, exists: (single at the end objects)",true,2022-04-05T03:10:47.643Z,,
_6e72e65c14ff4a41,1,4,11,200,92,2500,pbp18sim,interleaved-sim-sim,108,47,"Only in the left scenes, exists: ( objects that are touching at the end)",true,2022-04-05T03:10:48.023Z,,
_6e72e65c14ff4a41,1,4,12,200,899,2500,pbp18sim,interleaved-sim-sim,1693,6962,"Only in the left scenes, exists: ( objects that are touches (any object) at the end)",true,2022-04-05T03:10:48.027Z,,
_6e72e65c14ff4a41,1,4,14,200,315,2500,pbp18sim,interleaved-sim-sim,723,1150,"Only in the right scenes, exists: (single at the end objects)",true,2022-04-05T03:10:48.032Z,,
_6e72e65c14ff4a41,1,4,5,200,157,2500,pbp18sim,interleaved-sim-sim,304,393,"Only in the left scenes, exists: ( objects that are touching at the end)",true,2022-04-05T03:10:47.486Z,,
_6e72e65c14ff4a41,1,4,10,200,443,2500,pbp18sim,interleaved-sim-sim,834,2846,"Only in the left scenes, exists: ( objects that are touching at the end)",true,2022-04-05T03:10:47.990Z,,
_6e72e65c14ff4a41,1,4,15,200,1058,2500,pbp18sim,interleaved-sim-sim,1780,9380,"Only in the left scenes, exists: ( objects that are touches (can-move-up objects) at the end)",true,2022-04-05T03:10:48.038Z,,
_6e72e65c14ff4a41,1,4,16,200,177,2500,pbp18sim,interleaved-sim-sim,475,574,"Only in the right scenes, exists: ( objects that are far (small objects) at the end)",true,2022-04-05T03:10:48.066Z,,
_6e72e65c14ff4a41,1,4,17,200,94,2500,pbp18sim,interleaved-sim-sim,162,56,"Only in the left scenes, exists: ( objects that are touching at the end)",true,2022-04-05T03:10:48.068Z,,
_6e72e65c14ff4a41,1,4,19,200,467,2500,pbp18sim,interleaved-sim-sim,1035,2142,"Only in the right scenes, exists: (single at the end objects)",true,2022-04-05T03:10:48.076Z,,
_6e72e65c14ff4a41,1,4,20,200,128,2500,pbp18sim,interleaved-sim-sim,241,220,"Only in the right scenes, exists: (single at the end objects)",true,2022-04-05T03:10:48.082Z,,
_6e72e65c14ff4a41,1,4,3,200,216,2500,pbp18sim,interleaved-sim-sim,563,854,"Only in the right scenes, exists: ( objects that are far (small objects) at the end)",true,2022-04-05T03:10:47.430Z,,
_6e72e65c14ff4a41,1,4,8,200,597,2500,pbp18sim,interleaved-sim-sim,1102,2227,"Only in the left scenes, exists: ( objects that are touches (circle objects) at the end)",true,2022-04-05T03:10:47.978Z,,
_6e72e65c14ff4a41,1,4,13,200,748,2500,pbp18sim,interleaved-sim-sim,1266,4675,"Only in the left scenes, exists: ( objects that are touches (small objects) at the end)",true,2022-04-05T03:10:48.030Z,,
_6e72e65c14ff4a41,1,4,18,200,86,2500,pbp18sim,interleaved-sim-sim,187,176,"Only in the right scenes, exists: (single at the end objects)",true,2022-04-05T03:10:48.072Z,,
_6e72e65c14ff4a41,1,4,21,200,476,2500,pbp18sim,interleaved-sim-sim,979,1800,"Only in the right scenes, exists: (single at the end objects)",true,2022-04-05T03:10:48.091Z,,
_6e72e65c14ff4a41,1,4,22,200,522,2500,pbp18sim,interleaved-sim-sim,1407,2325,"Only in the left scenes, exists: ( objects that are supporting[0.20] (small objects) at the end)",true,2022-04-05T03:10:48.093Z,,
_6e72e65c14ff4a41,1,4,23,200,294,2500,pbp18sim,interleaved-sim-sim,774,1003,"Only in the right scenes, exists: (single at the end objects)",true,2022-04-05T03:10:48.104Z,,
_6e72e65c14ff4a41,1,4,24,200,426,2500,pbp18sim,interleaved-sim-sim,953,3135,"Only in the left scenes, exists: ( objects that are touches (circle objects) at the end)",true,2022-04-05T03:10:48.106Z,,
_6e72e65c14ff4a41,1,4,25,200,124,2500,pbp18sim,interleaved-sim-sim,638,611,"Only in the left scenes, exists: ( objects that are supporting[0.20] (circle objects) at the end)",true,2022-04-05T03:10:48.115Z,,
_6e72e65c14ff4a41,1,4,26,200,136,2500,pbp18sim,interleaved-sim-sim,368,232,"Only in the right scenes, exists: (single at the end objects)",true,2022-04-05T03:10:48.118Z,,
_6e72e65c14ff4a41,1,4,27,200,340,2500,pbp18sim,interleaved-sim-sim,801,1286,"Only in the left scenes, exists: ( objects that are touches (circle objects) at the end)",true,2022-04-05T03:10:48.126Z,,
_6e72e65c14ff4a41,1,4,28,200,785,2500,pbp18sim,interleaved-sim-sim,1361,5733,"Only in the left scenes, exists: ( objects that are touching at the end)",true,2022-04-05T03:10:48.127Z,,
